Date,Time,Open,High,Low,Close,Volume
20081126,00:00:00,1.54710,1.54810,1.51755,1.53240,139699694130
20081127,00:00:00,1.53185,1.55115,1.53110,1.54030,104846737350
20081128,00:00:00,1.54030,1.54475,1.52570,1.53670,149393947990
20081201,00:00:00,1.53622,1.53985,1.48055,1.48850,210435662100
20081202,00:00:00,1.48855,1.50680,1.47740,1.49160,164664750510
20081203,00:00:00,1.49170,1.49300,1.46640,1.47805,156536652820
20081204,00:00:00,1.47805,1.48155,1.44670,1.46780,182878346720
20081205,00:00:00,1.46775,1.47715,1.45220,1.46815,151239583660
20081208,00:00:00,1.47324,1.50475,1.46740,1.49110,178704847800
20081209,00:00:00,1.49120,1.49120,1.46780,1.47490,254996926220
20081210,00:00:00,1.47490,1.48795,1.47350,1.47790,270415959800
20081211,00:00:00,1.47805,1.50800,1.47705,1.50285,259227517820
20081212,00:00:00,1.50285,1.51190,1.48140,1.49430,158590551010
20081215,00:00:00,1.49509,1.53780,1.49200,1.53015,269097855150
20081216,00:00:00,1.53010,1.56465,1.52030,1.55770,320652400060
20081217,00:00:00,1.55750,1.57205,1.52425,1.55320,228009610900
20081218,00:00:00,1.55325,1.56140,1.48830,1.50120,219326183840
20081219,00:00:00,1.50125,1.51860,1.48115,1.49255,202204128780
20081222,00:00:00,1.49520,1.49900,1.46830,1.48190,199235495000
20081223,00:00:00,1.48155,1.48970,1.46695,1.47210,142928639880
20081224,00:00:00,1.47225,1.48045,1.46565,1.47230,91583370020
20081225,00:00:00,1.47272,1.49709,1.46413,1.47331,140284004900
20081226,00:00:00,1.47386,1.49505,1.45585,1.45585,58037390140
20081229,00:00:00,1.46565,1.47700,1.43790,1.43920,180540600020
20081230,00:00:00,1.43875,1.45515,1.43875,1.44075,156902760050
20081231,00:00:00,1.44050,1.46970,1.43505,1.46219,132995774810
20090101,00:00:00,1.46222,1.46700,1.45838,1.46700,151067920150
20090102,00:00:00,1.46772,1.48245,1.43775,1.45455,131263190580
20090105,00:00:00,1.45356,1.47395,1.44250,1.46995,208947107740
20090106,00:00:00,1.47000,1.49915,1.45020,1.49185,208445231970
20090107,00:00:00,1.49170,1.52815,1.48025,1.50985,193215807800
20090108,00:00:00,1.50890,1.53735,1.49805,1.52145,182266274100
