Date,Time,Open,High,Low,Close,Volume
20210208,07:00:00,1816.96,1838.99,1807.66,1830.29,74987190
20210209,07:00:00,1830.23,1848.47,1828.79,1837.88,77268350
20210210,07:00:00,1837.32,1855.23,1833.91,1842.10,69475270
20210211,07:00:00,1842.85,1847.40,1821.01,1825.24,58904360
20210212,07:00:00,1824.38,1830.62,1810.39,1823.65,57933530
20210215,07:00:00,1825.12,1826.91,1815.87,1818.44,35155730
20210216,07:00:00,1818.92,1826.38,1789.38,1794.24,77940850
20210217,07:00:00,1793.83,1795.02,1769.42,1775.79,80176920
20210218,07:00:00,1775.96,1789.46,1768.31,1775.10,75821290
20210219,07:00:00,1775.59,1791.40,1760.44,1783.40,88052650
20210222,07:00:00,1781.55,1812.54,1780.55,1808.90,92962170
20210223,07:00:00,1809.20,1815.88,1795.42,1805.43,84448950
20210224,07:00:00,1804.62,1813.74,1783.44,1803.89,87534480
20210225,07:00:00,1804.90,1805.31,1765.33,1770.02,118845940
20210226,07:00:00,1770.13,1775.61,1717.09,1733.19,115001580
20210301,07:00:00,1732.75,1759.71,1719.53,1724.62,99696870
20210302,07:00:00,1724.16,1738.98,1707.07,1737.87,83115290
20210303,07:00:00,1737.35,1740.45,1701.80,1710.85,84554530
20210304,07:00:00,1710.13,1723.10,1690.26,1697.14,103458950
20210305,07:00:00,1697.66,1707.67,1687.14,1699.40,91932170
20210308,07:00:00,1701.72,1714.17,1676.70,1683.29,91331510
20210309,07:00:00,1683.44,1720.47,1680.01,1715.69,81549680
20210310,07:00:00,1714.95,1726.70,1708.14,1726.41,77333020
20210311,07:00:00,1726.04,1739.73,1719.12,1722.19,78539100
20210312,07:00:00,1721.80,1729.16,1699.08,1726.96,77276050
20210315,07:00:00,1727.19,1734.42,1721.55,1731.46,73668610
20210316,07:00:00,1731.07,1741.15,1726.11,1730.67,59247710
20210317,07:00:00,1731.36,1751.50,1724.02,1744.80,75751000
20210318,07:00:00,1744.80,1755.41,1719.12,1736.38,84090830
20210319,07:00:00,1735.64,1746.54,1728.39,1744.86,78859200
20210322,07:00:00,1746.01,1746.93,1727.24,1738.65,78071880
20210323,07:00:00,1738.47,1742.38,1724.58,1726.59,75195030
20210324,07:00:00,1726.43,1738.32,1723.62,1734.07,68224610
20210325,07:00:00,1733.88,1745.39,1721.59,1726.62,81792080
20210326,07:00:00,1726.10,1736.65,1721.50,1731.81,69246450
20210329,07:00:00,1731.27,1732.99,1705.67,1712.03,63819390
20210330,07:00:00,1711.50,1714.32,1678.60,1684.67,76174570
20210331,07:00:00,1684.67,1715.26,1677.79,1707.22,72703810
20210401,07:00:00,1707.66,1730.46,1705.64,1728.81,65088360
20210405,07:00:00,1727.93,1733.45,1721.15,1727.80,49400080
20210406,07:00:00,1727.93,1745.32,1727.06,1742.70,60234460
20210407,07:00:00,1742.53,1744.20,1730.52,1737.37,55800070
20210408,07:00:00,1736.89,1758.57,1733.06,1755.44,56261790
20210409,07:00:00,1755.23,1757.24,1731.17,1743.03,60916730
20210412,07:00:00,1743.38,1744.94,1727.32,1732.41,61470700
20210413,07:00:00,1732.25,1748.93,1723.58,1745.12,67937420
20210414,07:00:00,1745.13,1749.22,1732.51,1736.09,63384870
20210415,07:00:00,1736.01,1769.53,1734.25,1763.60,69922970
20210416,07:00:00,1762.84,1783.75,1759.62,1775.75,68778850
20210419,07:00:00,1777.00,1789.97,1766.63,1771.02,75106780
20210420,07:00:00,1770.43,1780.33,1763.51,1778.38,71411470
20210421,07:00:00,1778.42,1797.53,1776.17,1793.02,70293140
20210422,07:00:00,1793.23,1797.75,1777.33,1783.80,77102730
20210423,07:00:00,1783.16,1795.86,1769.87,1776.82,71812560
20210426,07:00:00,1775.85,1783.41,1768.62,1780.79,67991760
20210427,07:00:00,1780.69,1785.46,1773.62,1776.23,65663790
20210428,07:00:00,1776.27,1782.42,1762.50,1780.97,76014430
