DateTime,Open,High,Low,Close
20040227 07:00:00,394.34,397.52,390.99,395.50
20040301 07:00:00,395.80,402.39,395.14,399.02
20040302 07:00:00,399.12,401.03,390.14,392.34
20040303 07:00:00,392.39,393.30,387.00,392.64
20040304 07:00:00,392.69,395.12,390.62,392.07
20040305 07:00:00,392.22,400.85,391.54,400.39
20040308 07:00:00,400.40,401.00,397.56,400.59
20040309 07:00:00,400.44,405.70,399.29,401.93
20040310 07:00:00,402.52,404.07,396.71,399.30
20040311 07:00:00,399.10,402.59,396.21,402.10
20040312 07:00:00,402.40,402.47,394.00,394.60
20040315 07:00:00,394.42,399.84,394.23,398.80
20040316 07:00:00,398.90,403.67,397.99,401.54
20040317 07:00:00,401.41,407.02,400.79,406.90
20040318 07:00:00,406.49,413.54,404.98,410.70
20040319 07:00:00,410.62,412.80,408.21,411.65
20040322 07:00:00,410.82,418.22,410.16,416.72
20040323 07:00:00,416.57,420.05,414.30,418.84
20040324 07:00:00,418.93,419.45,413.69,415.70
20040325 07:00:00,415.76,417.72,414.04,415.68
20040326 07:00:00,415.81,423.15,413.77,421.42
20040329 07:00:00,420.79,421.25,415.62,417.09
20040330 07:00:00,417.29,421.74,416.22,420.10
20040331 07:00:00,419.99,426.92,419.30,425.71
20040401 07:00:00,425.61,430.50,423.10,425.65
20040402 07:00:00,425.21,428.76,416.95,419.88
20040405 07:00:00,419.83,421.97,412.53,415.04
20040406 07:00:00,415.25,419.10,413.82,418.76
20040407 07:00:00,418.51,423.46,416.49,421.95
20040408 07:00:00,422.19,423.65,417.46,419.17
20040409 07:00:00,419.24,420.43,418.46,419.08
20040412 07:00:00,419.04,421.48,416.33,417.65
20040413 07:00:00,417.78,421.02,404.31,406.13
20040414 07:00:00,405.81,407.55,396.35,399.68
20040415 07:00:00,399.53,401.01,394.39,398.58
20040416 07:00:00,398.26,402.10,396.03,399.63
20040419 07:00:00,400.14,405.28,398.83,400.64
20040420 07:00:00,400.62,400.73,393.65,394.15
20040421 07:00:00,394.42,394.95,388.39,389.72
20040422 07:00:00,389.60,393.54,388.65,392.16
20040423 07:00:00,391.86,396.23,391.69,394.41
20040426 07:00:00,394.63,397.54,392.54,395.53
20040427 07:00:00,395.57,398.96,394.91,397.53
20040428 07:00:00,397.69,398.44,383.43,384.46
20040429 07:00:00,384.95,387.82,376.73,387.02
20040430 07:00:00,387.22,390.35,384.92,385.86
20040503 07:00:00,386.34,389.13,384.75,386.27
20040504 07:00:00,386.45,392.83,385.40,391.88
20040505 07:00:00,391.94,394.55,389.19,392.38
20040506 07:00:00,392.34,393.81,385.78,387.21
20040507 07:00:00,386.84,388.49,376.44,378.30
20040510 07:00:00,378.46,379.01,370.63,377.94
20040511 07:00:00,378.11,379.64,373.55,377.38
20040512 07:00:00,377.41,383.67,376.00,377.33
20040513 07:00:00,377.09,378.70,372.21,374.38
20040514 07:00:00,373.96,376.86,372.27,376.19
20040517 07:00:00,376.49,382.95,375.59,378.27
20040518 07:00:00,378.21,379.56,374.38,375.74
20040519 07:00:00,376.35,382.82,374.28,381.81
20040520 07:00:00,381.69,382.20,377.33,378.70
20040521 07:00:00,379.02,386.85,378.51,383.73
20040524 07:00:00,384.08,386.31,382.33,384.81
20040525 07:00:00,384.87,389.43,384.07,388.06
20040526 07:00:00,387.81,391.62,386.66,388.20
20040527 07:00:00,388.00,395.41,387.45,394.08
20040528 07:00:00,394.31,396.38,391.75,392.87
20040531 07:00:00,393.15,395.32,392.48,394.90
20040601 07:00:00,394.73,398.40,392.47,394.18
20040602 07:00:00,393.72,396.33,389.51,390.27
20040603 07:00:00,390.82,392.33,386.58,387.88
20040604 07:00:00,387.87,391.25,384.59,389.52
20040607 07:00:00,389.74,393.91,389.55,392.80
20040608 07:00:00,392.83,395.00,389.68,391.02
20040609 07:00:00,390.60,391.47,382.35,383.92
20040610 07:00:00,383.85,387.37,381.70,384.92
20040611 07:00:00,385.04,386.10,382.32,383.73
20040614 07:00:00,383.93,385.70,381.40,382.89
20040615 07:00:00,382.63,388.59,380.55,388.13
20040616 07:00:00,388.33,389.43,382.19,384.19
20040617 07:00:00,383.59,389.20,382.50,388.23
20040618 07:00:00,388.11,395.78,385.37,394.42
20040621 07:00:00,394.02,396.88,391.74,393.15
20040622 07:00:00,393.41,396.21,392.02,394.15
20040623 07:00:00,394.33,396.69,392.20,395.30
20040624 07:00:00,395.05,402.89,393.23,401.60
20040625 07:00:00,401.28,402.89,400.04,400.89
20040628 07:00:00,400.88,404.59,398.64,399.81
20040629 07:00:00,399.83,400.98,390.41,391.70
20040630 07:00:00,391.83,396.19,390.71,393.77
20040701 07:00:00,393.56,395.87,392.13,394.94
20040702 07:00:00,395.37,399.27,391.26,397.44
20040705 07:00:00,397.28,398.73,396.37,397.82
